id,sex,bizflag,zip,zip_bins,numords,dollars,last,sincepurch,version1,owntaxprod,upgraded,res1,city,state_id,state_name,population,density
83,F,0,99999,20,3,107.5,30,26,1,0,0,0,International,International,International,International,International
84,F,0,99999,20,3,123,16,19,0,0,1,0,International,International,International,International,International
85,M,0,99999,20,1,76,6,34,1,0,0,0,International,International,International,International,International
86,M,0,99999,20,2,199,18,7,0,0,0,0,International,International,International,International,International
87,M,0,99999,20,1,99.5,30,21,1,0,0,0,International,International,International,International,International
88,M,0,99999,20,2,134,15,11,0,0,0,0,International,International,International,International,International
89,M,0,99999,20,1,139.5,4,20,1,0,0,0,International,International,International,International,International
90,M,0,99999,20,5,291.5,29,24,1,0,0,0,International,International,International,International,International
91,F,0,99999,20,1,24.5,25,1,0,0,0,0,International,International,International,International,International
92,F,0,99999,20,2,64,14,1,0,1,0,0,International,International,International,International,International
93,M,0,0,1,2,80.5,31,23,0,1,1,0,International,International,International,International,International
94,M,0,0,1,2,56.5,19,15,0,0,0,0,International,International,International,International,International
95,M,0,99999,20,1,191.5,25,23,0,0,1,0,International,International,International,International,International
96,M,0,99999,20,1,24.5,24,13,0,0,0,0,International,International,International,International,International
97,M,0,99999,20,1,31,5,26,1,0,0,0,International,International,International,International,International
98,M,0,99999,20,4,68.5,17,27,1,0,0,0,International,International,International,International,International
99,M,0,99999,20,1,44.5,30,7,0,0,0,0,International,International,International,International,International
100,M,0,99999,20,5,238,21,23,0,0,1,0,International,International,International,International,International
101,M,0,99999,20,2,94,11,4,0,0,0,0,International,International,International,International,International
102,M,0,99999,20,2,39,20,8,0,0,0,0,International,International,International,International,International
103,F,0,99999,20,3,193.5,10,4,0,0,0,0,International,International,International,International,International
104,F,0,99999,20,2,61.5,1,10,0,0,0,0,International,International,International,International,International
105,M,0,99999,20,3,153.5,14,32,0,0,1,0,International,International,International,International,International
106,M,0,99999,20,1,14.5,23,9,0,0,0,0,International,International,International,International,International
107,M,0,0,1,1,54.5,22,2,0,0,0,0,International,International,International,International,International
108,M,0,0,1,2,219,13,7,0,0,0,0,International,International,International,International,International
109,M,0,99999,20,5,82,5,31,0,0,1,0,International,International,International,International,International
110,M,0,99999,20,1,6,22,13,0,0,0,0,International,International,International,International,International
111,M,0,99999,20,3,46.5,34,14,0,0,0,0,International,International,International,International,International
112,M,0,99999,20,1,109.5,16,29,1,0,0,0,International,International,International,International,International
113,M,0,99999,20,1,49.5,26,12,0,0,0,0,International,International,International,International,International
114,M,0,99999,20,2,329,36,11,0,0,0,0,International,International,International,International,International
115,M,0,99999,20,1,69,33,28,1,0,0,0,International,International,International,International,International
116,M,0,99999,20,2,147,17,29,0,0,1,0,International,International,International,International,International
117,M,0,99999,20,4,219.5,6,6,0,0,0,0,International,International,International,International,International
118,M,0,99999,20,1,6,6,14,0,0,0,0,International,International,International,International,International
119,F,0,99999,20,5,209.5,15,24,0,0,1,0,International,International,International,International,International
120,F,0,99999,20,1,33.5,30,14,0,0,0,0,International,International,International,International,International
121,M,0,0,1,3,259,6,24,0,1,1,1,International,International,International,International,International
122,M,0,0,1,1,62.5,29,7,0,0,0,0,International,International,International,International,International
123,M,0,99999,20,1,19.5,20,11,0,0,0,0,International,International,International,International,International
124,M,0,99999,20,1,12,18,33,1,0,0,0,International,International,International,International,International
125,M,0,99999,20,5,105.5,12,28,0,0,1,0,International,International,International,International,International
126,M,0,99999,20,1,82.5,21,4,0,0,0,0,International,International,International,International,International
127,M,0,99999,20,2,50.5,3,11,0,0,0,0,International,International,International,International,International
128,M,0,99999,20,1,39.5,3,1,0,0,0,0,International,International,International,International,International
129,M,0,0,1,3,93.5,1,10,0,1,0,0,International,International,International,International,International
130,M,0,0,1,2,106.5,25,36,0,0,1,0,International,International,International,International,International
131,M,0,99999,20,1,94.5,11,13,0,0,0,0,International,International,International,International,International
132,M,0,99999,20,1,29.5,3,30,1,0,0,0,International,International,International,International,International
133,M,0,99999,20,1,49.5,16,9,0,0,0,0,International,International,International,International,International
134,M,0,99999,20,2,119,3,9,0,0,0,0,International,International,International,International,International
135,M,0,99999,20,1,39.5,24,33,0,0,1,0,International,International,International,International,International
136,M,0,99999,20,2,109,27,15,0,0,0,0,International,International,International,International,International
137,M,0,99999,20,1,69.5,7,29,0,0,1,0,International,International,International,International,International
138,M,0,99999,20,2,54,10,20,0,0,1,0,International,International,International,International,International
139,M,0,99999,20,1,24.5,23,21,0,0,1,0,International,International,International,International,International
140,M,0,99999,20,5,118.5,18,25,1,0,0,0,International,International,International,International,International
141,U,0,99999,20,1,69.5,4,9,0,0,0,0,International,International,International,International,International
142,U,0,99999,20,5,346.5,3,5,0,0,0,0,International,International,International,International,International
143,M,0,99999,20,4,106.5,16,36,0,0,1,1,International,International,International,International,International
144,M,0,99999,20,2,122,14,19,1,0,0,0,International,International,International,International,International
145,M,0,0,1,5,132.5,16,28,0,0,1,0,International,International,International,International,International
146,M,0,0,1,1,6,5,21,0,0,1,0,International,International,International,International,International
147,F,0,99999,20,3,138,12,32,1,0,0,0,International,International,International,International,International
148,F,0,99999,20,2,34.5,1,12,0,0,0,0,International,International,International,International,International
149,M,0,99999,20,3,114.5,32,2,0,0,0,0,International,International,International,International,International
150,M,0,99999,20,3,73.5,26,26,0,0,1,0,International,International,International,International,International
151,U,0,99999,20,3,85.5,27,7,0,0,0,0,International,International,International,International,International
152,U,0,99999,20,2,75.5,4,26,1,0,0,0,International,International,International,International,International
153,M,0,99999,20,2,91.5,12,6,0,0,0,0,International,International,International,International,International
154,M,0,99999,20,3,98.5,6,15,0,0,0,0,International,International,International,International,International
155,M,0,99999,20,1,99.5,30,3,0,0,0,0,International,International,International,International,International
156,M,0,99999,20,2,114,1,8,0,0,0,0,International,International,International,International,International
157,M,1,0,1,1,110,4,16,0,0,0,0,International,International,International,International,International
158,M,1,0,1,4,88,6,23,1,0,0,0,International,International,International,International,International
159,M,0,99999,20,1,94.5,11,14,0,0,0,0,International,International,International,International,International
160,M,0,99999,20,1,24.5,12,35,1,0,0,0,International,International,International,International,International
161,M,0,99999,20,1,19.5,20,22,0,0,1,0,International,International,International,International,International
162,M,0,99999,20,4,166.5,16,1,0,0,0,0,International,International,International,International,International
163,M,0,0,1,2,21.5,17,2,0,0,0,0,International,International,International,International,International
164,M,0,0,1,1,98.5,4,5,0,0,0,0,International,International,International,International,International
165,M,0,0,1,4,208,7,31,1,0,0,0,International,International,International,International,International
166,M,0,0,1,5,282,3,8,0,0,0,0,International,International,International,International,International
167,M,0,99999,20,1,44.5,9,25,1,0,0,0,International,International,International,International,International
168,M,0,99999,20,1,24.5,24,17,0,0,0,0,International,International,International,International,International
169,M,0,0,1,3,65,26,16,0,0,1,0,International,International,International,International,International
170,M,0,0,1,2,114,30,3,0,0,0,0,International,International,International,International,International
171,M,0,0,1,1,84.5,12,19,0,0,1,0,International,International,International,International,International
172,M,0,0,1,2,99.5,33,18,0,0,1,0,International,International,International,International,International
173,F,0,99999,20,1,94.5,22,1,0,0,0,0,International,International,International,International,International
174,F,0,99999,20,1,9.5,11,6,0,0,0,0,International,International,International,International,International
175,M,0,99999,20,2,49,10,7,0,0,0,0,International,International,International,International,International
176,M,0,99999,20,3,100,14,2,0,0,0,0,International,International,International,International,International
177,M,0,99999,20,1,29.5,35,8,0,0,0,0,International,International,International,International,International
178,M,0,99999,20,2,53,24,9,0,0,0,0,International,International,International,International,International
179,M,0,99999,20,2,109,1,8,0,0,0,0,International,International,International,International,International
180,M,0,99999,20,2,73,11,7,0,0,0,0,International,International,International,International,International
181,M,1,0,1,2,118.5,33,19,0,0,1,0,International,International,International,International,International
182,M,1,0,1,1,64.5,1,9,0,0,0,0,International,International,International,International,International
183,M,0,99999,20,5,157.5,16,24,0,1,1,0,International,International,International,International,International
184,M,0,99999,20,1,39.5,12,8,0,0,0,0,International,International,International,International,International
185,M,0,99999,20,4,98,5,4,0,1,0,0,International,International,International,International,International
186,M,0,99999,20,2,63,10,22,1,0,0,0,International,International,International,International,International
187,M,0,99999,20,1,24.5,10,22,0,0,1,0,International,International,International,International,International
188,M,0,99999,20,1,24.5,32,11,0,0,0,0,International,International,International,International,International
189,M,0,99999,20,2,57.5,4,36,0,0,1,0,International,International,International,International,International
190,M,0,99999,20,2,42.5,5,21,1,0,0,0,International,International,International,International,International
191,M,0,99999,20,1,13,19,1,0,0,0,0,International,International,International,International,International
192,M,0,99999,20,3,268.5,7,7,0,0,0,0,International,International,International,International,International
193,M,0,99999,20,1,34.5,16,26,0,0,1,0,International,International,International,International,International
194,M,0,99999,20,1,19.5,25,6,0,0,0,0,International,International,International,International,International
195,M,0,99999,20,2,156.5,10,23,1,0,0,0,International,International,International,International,International
196,M,0,99999,20,1,9.5,13,1,0,0,0,0,International,International,International,International,International
197,F,0,99999,20,2,99,13,5,0,1,0,1,International,International,International,International,International
198,F,0,99999,20,1,13,4,12,0,0,0,0,International,International,International,International,International
199,M,0,0,1,2,44.5,17,12,0,0,0,0,International,International,International,International,International
200,M,0,0,1,2,84,12,2,0,0,0,0,International,International,International,International,International
201,M,0,99999,20,2,75,21,28,0,0,1,0,International,International,International,International,International
202,M,0,99999,20,1,51.5,1,23,1,0,0,1,International,International,International,International,International
203,M,1,3158,2,3,66,1,26,0,0,1,1,International,International,International,International,International
204,M,1,3158,2,1,26.5,3,6,0,0,0,0,International,International,International,International,International
205,M,1,0,1,4,767.5,21,11,0,0,0,0,International,International,International,International,International
206,M,1,0,1,4,197,17,7,0,0,0,0,International,International,International,International,International
207,M,0,760,1,5,205,24,29,1,0,0,1,International,International,International,International,International
208,M,0,760,1,5,308,1,15,0,0,0,0,International,International,International,International,International
209,U,1,0,1,1,49.5,33,7,0,0,0,0,International,International,International,International,International
210,U,1,0,1,2,193,27,31,0,0,1,0,International,International,International,International,International
211,M,0,0,1,2,179,26,14,0,0,0,0,International,International,International,International,International
212,M,0,0,1,1,34.5,22,34,1,0,0,0,International,International,International,International,International
213,U,0,613,1,1,99.5,20,7,0,0,0,0,International,International,International,International,International
214,U,0,613,1,1,62.5,17,11,0,0,0,0,International,International,International,International,International
215,M,0,660,1,4,236.5,10,33,1,0,0,0,Hormigueros,PR,Puerto Rico,15483,528.2
216,M,0,660,1,1,82,34,21,0,0,1,0,Hormigueros,PR,Puerto Rico,15483,528.2
217,M,0,693,1,3,123,10,10,0,0,0,0,Vega Baja,PR,Puerto Rico,55570,483.1
218,M,0,693,1,1,40,17,4,0,0,0,0,Vega Baja,PR,Puerto Rico,55570,483.1
219,U,1,731,1,2,40,17,24,0,0,1,0,Ponce,PR,Puerto Rico,10473,82.6
220,U,1,731,1,4,121,27,5,0,0,0,0,Ponce,PR,Puerto Rico,10473,82.6
221,F,0,757,1,2,29,33,6,0,0,0,0,Santa Isabel,PR,Puerto Rico,20048,238.7
222,F,0,757,1,1,71.5,31,7,0,0,0,0,Santa Isabel,PR,Puerto Rico,20048,238.7
223,M,0,801,1,2,49,18,9,0,0,0,0,International,International,International,International,International
224,M,0,801,1,3,118.5,6,12,0,0,0,1,International,International,International,International,International
225,B,0,801,1,1,162,19,19,0,0,1,0,International,International,International,International,International
226,B,0,801,1,2,224,26,13,0,1,0,0,International,International,International,International,International
227,M,0,801,1,1,9.5,25,7,0,0,0,0,International,International,International,International,International
228,M,0,801,1,1,47.5,14,10,0,0,0,1,International,International,International,International,International
229,M,1,801,1,1,64.5,13,20,1,0,0,0,International,International,International,International,International
230,M,1,801,1,1,56,24,10,0,0,0,0,International,International,International,International,International
231,M,0,801,1,1,9.5,32,13,0,0,0,0,International,International,International,International,International
232,M,0,801,1,1,24.5,26,25,1,0,0,0,International,International,International,International,International
233,F,1,801,1,1,109.5,18,35,1,0,0,0,International,International,International,International,International
234,F,1,801,1,2,46.5,9,22,1,0,0,1,International,International,International,International,International
235,M,0,801,1,1,109.5,30,2,0,0,0,0,International,International,International,International,International
236,M,0,801,1,1,53.5,17,10,0,0,0,0,International,International,International,International,International
237,M,0,801,1,1,117,18,13,0,0,0,0,International,International,International,International,International
238,M,0,801,1,4,118,22,21,1,0,0,1,International,International,International,International,International
239,M,0,801,1,1,40,17,18,0,0,1,1,International,International,International,International,International
240,M,0,801,1,1,60.5,30,14,0,0,0,0,International,International,International,International,International
241,U,0,801,1,2,150,28,5,0,1,0,1,International,International,International,International,International
242,U,0,801,1,1,29.5,3,4,0,0,0,1,International,International,International,International,International
243,M,0,801,1,3,61.5,31,16,0,0,0,0,International,International,International,International,International
244,M,0,801,1,4,71.5,4,1,0,0,0,0,International,International,International,International,International
245,M,0,801,1,1,8.5,17,23,1,0,0,1,International,International,International,International,International
246,M,0,801,1,2,81,5,3,0,0,0,1,International,International,International,International,International
247,M,0,801,1,2,28,17,1,0,0,0,0,International,International,International,International,International
248,M,0,801,1,1,73.5,20,2,0,0,0,0,International,International,International,International,International
249,M,0,801,1,1,4.5,20,33,0,0,1,0,International,International,International,International,International
250,M,0,801,1,1,7,18,1,0,0,0,0,International,International,International,International,International
251,M,1,801,1,2,65,3,33,1,0,0,0,International,International,International,International,International
252,M,1,801,1,1,49.5,5,18,0,0,1,0,International,International,International,International,International
253,M,0,801,1,1,79.5,18,17,0,0,0,0,International,International,International,International,International
254,M,0,801,1,4,199,31,34,0,0,1,1,International,International,International,International,International
255,M,0,801,1,2,74,14,8,0,0,0,0,International,International,International,International,International
256,M,0,801,1,2,130,36,22,1,0,0,0,International,International,International,International,International
257,M,0,801,1,5,210,4,3,0,0,0,0,International,International,International,International,International
258,M,0,801,1,3,213.5,9,8,0,0,0,1,International,International,International,International,International
259,U,1,801,1,1,59.5,2,14,0,0,0,1,International,International,International,International,International
260,U,1,801,1,1,57,22,21,0,0,1,0,International,International,International,International,International
261,F,0,801,1,5,399.5,13,2,0,0,0,1,International,International,International,International,International
262,F,0,801,1,1,29.5,11,20,1,0,0,1,International,International,International,International,International
263,F,0,801,1,3,98.5,24,32,0,0,1,0,International,International,International,International,International
264,F,0,801,1,1,279.5,30,7,0,0,0,1,International,International,International,International,International
265,F,0,801,1,2,207.5,9,23,0,0,1,1,International,International,International,International,International
266,F,0,801,1,3,194,1,29,0,0,1,0,International,International,International,International,International
267,M,0,801,1,3,93.5,9,21,1,0,0,1,International,International,International,International,International
268,M,0,801,1,2,64.5,3,18,0,0,0,1,International,International,International,International,International
269,F,0,801,1,4,128,8,23,0,0,1,0,International,International,International,International,International
270,F,0,801,1,2,91,17,4,0,0,0,1,International,International,International,International,International
271,M,0,801,1,3,107.5,16,5,0,0,0,0,International,International,International,International,International
272,M,0,801,1,3,58.5,4,11,0,0,0,1,International,International,International,International,International
273,M,0,801,1,5,135.5,6,15,0,0,0,0,International,International,International,International,International
274,M,0,801,1,1,34.5,32,5,0,0,0,0,International,International,International,International,International
275,M,0,801,1,4,84.5,1,16,1,0,0,1,International,International,International,International,International
276,M,0,801,1,1,54.5,20,24,1,0,0,1,International,International,International,International,International
277,M,0,801,1,1,154.5,16,30,0,0,1,1,International,International,International,International,International
278,M,0,801,1,2,192,1,18,0,0,1,1,International,International,International,International,International
279,F,0,801,1,1,39.5,6,31,0,0,1,1,International,International,International,International,International
280,F,0,801,1,4,92.5,11,5,0,0,0,0,International,International,International,International,International
281,M,1,801,1,5,336,1,13,0,0,0,1,International,International,International,International,International
282,M,1,801,1,1,127,6,26,0,0,1,0,International,International,International,International,International
283,M,0,801,1,1,44.5,8,33,0,0,1,1,International,International,International,International,International
284,M,0,801,1,1,49.5,33,15,0,0,0,0,International,International,International,International,International
285,M,0,801,1,4,71.5,31,15,0,0,0,1,International,International,International,International,International
286,M,0,801,1,1,79.5,26,1,0,0,0,0,International,International,International,International,International
287,M,0,801,1,1,6,21,6,0,0,0,0,International,International,International,International,International
288,M,0,801,1,2,29,13,7,0,0,0,0,International,International,International,International,International
289,M,0,801,1,2,319,23,27,1,0,0,0,International,International,International,International,International
290,M,0,801,1,3,131,1,13,0,0,0,0,International,International,International,International,International
291,M,0,801,1,1,59.5,1,10,0,0,0,0,International,International,International,International,International
292,M,0,801,1,1,24.5,23,30,1,0,0,0,International,International,International,International,International
293,U,1,801,1,3,101.5,25,17,0,0,0,0,International,International,International,International,International
294,U,1,801,1,1,112,10,33,1,0,0,1,International,International,International,International,International
295,U,0,801,1,4,100.5,9,22,0,0,1,0,International,International,International,International,International
296,U,0,801,1,1,49.5,16,19,1,0,0,0,International,International,International,International,International
297,M,1,801,1,1,9.5,24,27,1,0,0,0,International,International,International,International,International
298,M,1,801,1,1,11,5,20,0,0,1,0,International,International,International,International,International
299,M,0,801,1,3,94,35,4,0,0,0,0,International,International,International,International,International
300,M,0,801,1,5,139.5,12,26,0,0,1,0,International,International,International,International,International
301,M,0,801,1,1,89.5,5,35,1,0,0,0,International,International,International,International,International
302,M,0,801,1,2,29,4,16,0,0,0,0,International,International,International,International,International
303,M,0,801,1,3,146.5,25,15,0,0,0,1,International,International,International,International,International
304,M,0,801,1,5,201.5,17,9,0,0,0,0,International,International,International,International,International
305,F,0,801,1,2,71.5,14,7,0,0,0,1,International,International,International,International,International
306,F,0,801,1,1,134.5,7,15,0,0,0,1,International,International,International,International,International
307,M,0,801,1,1,4.5,31,13,0,0,0,0,International,International,International,International,International
308,M,0,801,1,1,114.5,18,19,0,0,1,0,International,International,International,International,International
309,U,1,801,1,2,34,22,26,0,0,1,0,International,International,International,International,International
310,U,1,801,1,1,35.5,4,22,0,0,1,1,International,International,International,International,International
311,M,1,801,1,1,4.5,24,16,0,0,0,0,International,International,International,International,International
312,M,1,801,1,1,9.5,10,13,0,0,0,0,International,International,International,International,International
313,M,0,801,1,3,141,10,28,1,0,0,0,International,International,International,International,International
314,M,0,801,1,3,201,26,31,1,0,0,0,International,International,International,International,International
315,U,1,801,1,2,84,11,31,0,0,1,1,International,International,International,International,International
316,U,1,801,1,1,64.5,17,17,0,0,0,0,International,International,International,International,International
317,M,0,801,1,1,34.5,8,5,0,0,0,1,International,International,International,International,International
318,M,0,801,1,3,258,6,17,0,1,1,1,International,International,International,International,International
319,M,0,801,1,1,49.5,12,11,0,0,0,0,International,International,International,International,International
320,M,0,801,1,2,219.5,10,31,0,0,1,1,International,International,International,International,International
321,M,0,801,1,1,44.5,19,8,0,0,0,0,International,International,International,International,International
322,M,0,801,1,1,33,13,17,0,0,0,0,International,International,International,International,International
323,M,0,801,1,2,60,28,30,0,0,1,1,International,International,International,International,International
324,M,0,801,1,5,361,25,14,0,0,0,1,International,International,International,International,International
325,M,0,801,1,1,54.5,22,1,0,0,0,1,International,International,International,International,International
326,M,0,801,1,3,190,6,5,0,0,0,0,International,International,International,International,International
327,M,0,801,1,4,211.5,5,4,0,0,0,0,International,International,International,International,International
328,M,0,801,1,2,27,1,5,0,0,0,0,International,International,International,International,International
329,M,1,801,1,1,29.5,16,3,0,0,0,0,International,International,International,International,International
330,M,1,801,1,1,91,33,4,0,0,0,1,International,International,International,International,International
331,U,0,801,1,2,32.5,17,5,0,0,0,1,International,International,International,International,International
332,U,0,801,1,1,19.5,26,33,0,0,1,0,International,International,International,International,International
333,U,0,801,1,2,99,6,2,0,0,0,0,International,International,International,International,International
334,U,0,801,1,2,60,21,4,0,0,0,0,International,International,International,International,International
335,F,0,801,1,2,60,6,13,0,0,0,1,International,International,International,International,International
336,F,0,801,1,4,58,24,25,1,0,0,0,International,International,International,International,International
337,M,0,801,1,1,182,9,19,0,0,1,0,International,International,International,International,International
338,M,0,801,1,2,69,10,31,1,0,0,0,International,International,International,International,International
339,M,0,801,1,1,24.5,6,20,0,0,1,1,International,International,International,International,International
340,M,0,801,1,4,331,1,10,0,0,0,0,International,International,International,International,International
341,U,0,801,1,1,34.5,12,27,0,0,1,0,International,International,International,International,International
342,U,0,801,1,1,19.5,6,15,0,0,0,1,International,International,International,International,International
343,M,0,801,1,2,31,6,36,1,0,0,0,International,International,International,International,International
344,M,0,801,1,3,152.5,14,35,0,0,1,1,International,International,International,International,International
345,M,0,801,1,1,19.5,3,10,0,0,0,1,International,International,International,International,International
346,M,0,801,1,2,154.5,2,8,0,0,0,0,International,International,International,International,International
347,M,0,801,1,3,108.5,2,26,1,0,0,1,International,International,International,International,International
348,M,0,801,1,3,186,24,15,0,0,1,1,International,International,International,International,International
349,U,1,801,1,1,79.5,26,17,0,0,1,0,International,International,International,International,International
350,U,1,801,1,1,39.5,30,23,0,0,1,1,International,International,International,International,International
351,U,0,801,1,1,19.5,25,23,0,0,1,1,International,International,International,International,International
352,U,0,801,1,2,117,8,36,1,0,0,0,International,International,International,International,International
353,U,1,801,1,1,44.5,13,15,0,0,0,0,International,International,International,International,International
354,U,1,801,1,1,8.5,17,19,1,0,0,0,International,International,International,International,International
355,M,0,801,1,2,29,10,30,1,0,0,0,International,International,International,International,International
356,M,0,801,1,1,102,22,17,0,0,0,0,International,International,International,International,International
357,M,0,801,1,4,148.5,3,25,0,0,1,1,International,International,International,International,International
358,M,0,801,1,4,222,28,23,1,0,0,0,International,International,International,International,International
359,U,1,801,1,1,79.5,30,11,0,0,0,0,International,International,International,International,International
360,U,1,801,1,1,40,17,9,0,0,0,0,International,International,International,International,International
361,M,0,801,1,3,140.5,12,7,0,0,0,0,International,International,International,International,International
362,M,0,801,1,3,66.5,22,7,0,0,0,0,International,International,International,International,International
363,M,0,801,1,2,113,28,28,0,0,1,1,International,International,International,International,International
364,M,0,801,1,1,179.5,2,22,0,0,1,0,International,International,International,International,International
365,F,0,801,1,1,114.5,4,36,0,0,1,1,International,International,International,International,International
